First Name,Last Name,user_id,email,role,functional_unit,department,team,supervisor,NINO,address,city,county,postal,phone
Hiroko Kiona,Faulkner,HKF0831,Hiroko.Kiona.Faulkner@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,EB722643D,2476 Marsh St,Markhouse Ward,Greater London,E17 8NP,
Dustin Gage,Franco,DGF0443,Dustin.Gage.Franco@dtaa.com,MechanicalEngineer,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,AS974143C,597 Threlfall St #72,Stokenham,Devon,TQ7 2HS,
Cora Aurora,Buckner,CAB0614,Cora.Aurora.Buckner@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,CG253718A,1 Jervis St,High Barnet Ward,Greater London,EN5 4LH,
Devin Brett,Guzman,DBG0261,Devin.Brett.Guzman@dtaa.com,ElectricalEngineer,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,MQ155888C,7602 Grantham St,Hexham,Northumberland,NE46 1QQ,
Zeph Dakota,Wilkerson,ZDW0859,Zeph.Dakota.Wilkerson@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,LZ389881D,10 Carisbrooke St,Shorne,Kent,DA12 3ED,
Brock William,Hunter,BWH0813,Brock.William.Hunter@dtaa.com,ComputerScientist,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George,KA441891C,78 Pine Grove,Stannington Ward,South Yorkshire,S6 5HE,
Dorothy Marny,Goff,DMG0358,Dorothy.Marny.Goff@dtaa.com,ITAdmin,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,DR259846A,7 Varthen St,Town Ward,Kent,DA1 2DL,
Magee Ashton,Evans,MAE0331,Magee.Ashton.Evans@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,WL150416B,8 Thomaston St,Astley Bridge Ward,Greater Manchester,BL1 8RG,
Ainsley MacKensie,Doyle,AMD0077,Ainsley.MacKensie.Doyle@dtaa.com,ChiefEngineer,2 - ResearchAndEngineering,3 - Engineering,3 - MaterialsEngineering,Declan Lester Moss,PY025556D,527 Harding St,Market Rasen,Lincolnshire,LN8 3AD,
Xanthus Louis,Buck,XLB0710,Xanthus.Louis.Buck@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,NF792517C,1616 Menzies St #453,Tadworth and Walton Ward,Surrey,KT20 7PA,
Deirdre Amaya,Garcia,DAG0558,Deirdre.Amaya.Garcia@dtaa.com,ComputerProgrammer,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,UQ961741D,3922 Leda St,Moreton Morrell,Warwickshire,CV35 9BX,
Whilemina Liberty,Velez,WLV0566,Whilemina.Liberty.Velez@dtaa.com,SoftwareEngineer,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,JC189496B,6352 Grosvenor St,Wombourne,Staffordshire,WV5 0LP,
Fuller Baker,Warner,FBW0747,Fuller.Baker.Warner@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,MD134075D,4313 Princes Park Terrace,Launceston,Cornwall,PL15 9QN,
Ira Brendan,Ball,IBB0359,Ira.Brendan.Ball@dtaa.com,ITAdmin,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,ZH027280B,9 Sydney Place,Henllan Community,Conwy,LL16 5AF,
Ramona Alma,Moses,RAM0447,Ramona.Alma.Moses@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,UX125828A,2015 Suburban Rd,Springfield Ward,Greater London,N16 6TD,
Alden Jesse,Day,AJD0074,Alden.Jesse.Day@dtaa.com,AdministrativeAssistant,2 - ResearchAndEngineering,3 - Engineering,,Declan Lester Moss,ZO957304A,769 Euston St,Glastonbury,Somerset,BA6 8EY,
Quyn Jolie,Rosario,QJR0688,Quyn.Jolie.Rosario@dtaa.com,ComputerProgrammer,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,Aurora Tatiana Payne,QH480665D,46 Stevenson St,West End Ward,Dundee City,DD1 5EF,
Hilel Tobias,Flynn,HTF0641,Hilel.Tobias.Flynn@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,UV017983D,1400 Ash St,Thorpe Hamlet Ward,Norfolk,NR1 4HS,
Rosalyn Daphne,Tillman,RDT0424,Rosalyn.Daphne.Tillman@dtaa.com,SystemsEngineer,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,Hadassah Riley Baker,TC557748D,8822 Trafalgar St,Yalding,Kent,ME18 6JE,
Xenos Rudyard,Small,XRS0633,Xenos.Rudyard.Small@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,FJ377840A,28 Berwick St,Moordown Ward,Bournemouth,BH9 1TT,
Risa Lana,Guthrie,RLG0856,Risa.Lana.Guthrie@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,UR310706C,94 Regent St,Over Kellet,Lancashire,LA6 1DB,
Meredith Lunea,Delaney,MLD0755,Meredith.Lunea.Delaney@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,FA256371B,30 Marine Parade #1,Staina Ward,Lancashire,FY5 4FN,
Emerson Tyrone,Rojas,ETR0177,Emerson.Tyrone.Rojas@dtaa.com,AdministrativeAssistant,5 - SalesAndMarketing,3 - FieldService,,Sharon Britanni Kerr,JJ899702B,8 Pim Hill St,Portobello,City of Edinburgh,EH15 2HW,
Ruth Yael,Burris,RYB0718,Ruth.Yael.Burris@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,XZ092371A,8451 Bengel St,Brixham,Devon,TQ5 9JW,
August Armando,Evans,AAE0190,August.Armando.Evans@dtaa.com,Manager,6 - PurchasingAndContracts,1 - Purchasing,,Kirby Bo Pollard,HU662876D,159 Carlton St,Windle Ward,Merseyside,WA10 6QG,
Deborah Victoria,Mcclure,DVM0265,Deborah.Victoria.Mcclure@dtaa.com,MaterialsEngineer,2 - ResearchAndEngineering,3 - Engineering,3 - MaterialsEngineering,Ainsley MacKensie Doyle,ZP058056B,38 Raffles St,Newmarket,Cambridgeshire,CB8 8QE,
Jolene Frances,Carey,JFC0757,Jolene.Frances.Carey@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,SR210812A,650 Goring St,Rainham South Ward,Kent,ME8 9PN,
Azalia Orli,Beach,AOB0019,Azalia.Orli.Beach@dtaa.com,HumanResourceSpecialist,1 - Adminstration,1 - Personnel,,Bethany Xerxes Johnson,OP926016D,6 Chestnut St,Gwersyllt Community,Wrexham,LL11 4RJ,
Anika Isabella,Pennington,AIP0394,Anika.Isabella.Pennington@dtaa.com,SoftwareEngineer,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,BB280792C,4 Peover St,Walcot Ward,Bath Avon,BA1 6EF,
Jin Jonathan,Buckley,JJB0127,Jin.Jonathan.Buckley@dtaa.com,MechanicalEngineer,3 - Manufacturing,2 - ManufacturingEngineering,,Fritz Dale Ellison,FP810751A,328 Pallas St,Longford Ward,Greater Manchester,M32 8LJ,
Mallory Carol,Spence,MCS0035,Mallory.Carol.Spence@dtaa.com,SecurityGuard,1 - Adminstration,6 - Security,1 - BuildingSecurity,Clinton Coby Wolfe,JQ210765C,9 Waltham Rd,Yealmpton,Devon,PL8 2NS,
Alec Boris,Chase,ABC0253,Alec.Boris.Chase@dtaa.com,ElectricalEngineer,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,TB436764A,352 Strathmore Rd,Shiphay-with-the-Willows Ward,Devon,TQ2 7JB,
Tasha Quail,Sanchez,TQS0212,Tasha.Quail.Sanchez@dtaa.com,SecurityGuard,1 - Adminstration,6 - Security,1 - BuildingSecurity,Clinton Coby Wolfe,IT779968D,529 Llanrwst St,Southam,Gloucestershire,GL52 8TW,
Roanna Sacha,Monroe,RSM0277,Roanna.Sacha.Monroe@dtaa.com,SystemsEngineer,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,MK730716A,1980 Tynemouth St,Almond Ward,West Lothian,EH52 5PY,
Jeanette Eliana,Rivera,JER0404,Jeanette.Eliana.Rivera@dtaa.com,SoftwareEngineer,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,GH899228B,8598 Rumney Rd,Hylands Ward,Essex,RM11 1QL,
Chastity Ima,Gibson,CIG0052,Chastity.Ima.Gibson@dtaa.com,AdministrativeAssistant,2 - ResearchAndEngineering,1 - Research,,Summer Leilani Boyer,HF878784C,9283 Ruth St #81,Dormers Wells Ward,Greater London,UB1 2FH,
Igor Ishmael,Ward,IIW0249,Igor.Ishmael.Ward@dtaa.com,MechanicalEngineer,2 - ResearchAndEngineering,3 - Engineering,1 - MechanicalEngineering,Harper Price Harris,AQ076158A,5544 Sutherland St,Mortehoe,Devon,EX34 7DQ,
Hector Vance,Foster,HVF0067,Hector.Vance.Foster@dtaa.com,SoftwareEngineer,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Vance Ira Alston,EN230174C,9 Jackson St,Parr Ward,Merseyside,WA9 3QW,
Hayes William,Wheeler,HWW0436,Hayes.William.Wheeler@dtaa.com,TestEngineer,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,JW811871D,3612 Bixteth St,Hucknall North Ward,Nottinghamshire,NG15 8DD,
Plato Ethan,Valdez,PEV0323,Plato.Ethan.Valdez@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,XT947246A,4545 Victoria Rd,Kilbirnie and Beith Ward,North Ayrshire,KA15 1AT,
Pearl Georgia,Owen,PGO0433,Pearl.Georgia.Owen@dtaa.com,TestEngineer,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,NU609829A,5 Hampden St,Liscard Ward,Merseyside,CH45 4RN,
Mallory Virginia,Bender,MVB0515,Mallory.Virginia.Bender@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,CZ553755B,6452 Pilgrim St #5,Seven Sisters Ward,Greater London,N15 6TH,
Timon Jacob,Gay,TJG0582,Timon.Jacob.Gay@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,SH701703B,1149 Highfield Rd #996,Fareham South Ward,Hampshire,PO14 9JJ,
Sasha Rina,Huffman,SRH0155,Sasha.Rina.Huffman@dtaa.com,AdministrativeAssistant,4 - Finance,3 - FinancialPlanning,,Libby Rosalyn Richard,SD916935A,21 Pickwick St,Sutton cum Duckmanton,Derbyshire,S44 5DS,
Ian Jonas,Morrow,IJM0444,Ian.Jonas.Morrow@dtaa.com,TestEngineer,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,BV681969A,19 Soho St,Whitley Ward,Berkshire,RG1 9XH,
Colt Ishmael,Mccall,CIM0271,Colt.Ishmael.Mccall@dtaa.com,ComputerScientist,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,MK421006A,236 Blantyre Rd,Everton Ward,Merseyside,L6 2EN,
Cameron Shay,Lester,CSL0949,Cameron.Shay.Lester@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,ZZ523082A,70 Lilly Rd,Shirley Ward,Greater London,CR0 7PT,
Anthony Aidan,Nixon,AAN0823,Anthony.Aidan.Nixon@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,ZN917183B,58 Gloucester Rd,Holbrook,Derbyshire,DE56 0TX,
Adam Kendall,Harrell,AKH0758,Adam.Kendall.Harrell@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,QD195137B,88 Upper Harrington St,North East Ward,North Lanarkshire,G69 8EL,
Harrison Samuel,Gonzales,HSG0818,Harrison.Samuel.Gonzales@dtaa.com,ComputerProgrammer,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George,VV484782B,4920 Fazakerley Rd,Plymstock Dunstone Ward,Devon,PL9 8RD,
Mercedes Ina,Landry,MIL0255,Mercedes.Ina.Landry@dtaa.com,ElectricalEngineer,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,EZ940217B,6 Morley St,Batchwood Ward,Hertfordshire,AL3 5JN,
Jared Geoffrey,Morin,JGM0934,Jared.Geoffrey.Morin@dtaa.com,SoftwareEngineer,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball,VZ035546C,7316 Friar St,Salvington Ward,West Sussex,BN13 3FL,
Kermit Coby,Oliver,KCO0122,Kermit.Coby.Oliver@dtaa.com,IndustrialEngineer,3 - Manufacturing,1 - IndustrialEngineering,,Grant Tyrone Doyle,DQ206890C,8 Heathfield St #657,Hailsham,East Sussex,BN27 1AJ,
Scott Gary,Burks,SGB0140,Scott.Gary.Burks@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,TP202112C,275 Peel Sq,Park Ward,North Eart Lincolnshire,DN32 0PT,
Nichole Azalia,Frye,NAF0326,Nichole.Azalia.Frye@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,TI898409C,726 Westmoreland Place,Ballochmyle Ward,East Ayrshire,KA5 6EL,
Igor Ulric,Yang,IUY0279,Igor.Ulric.Yang@dtaa.com,TestEngineer,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates,IQ011118B,7 Water St,Priory Heath Ward,Suffolk,IP3 9RB,
Eve Isadora,Mckenzie,EIM0156,Eve.Isadora.Mckenzie@dtaa.com,Statistician,4 - Finance,3 - FinancialPlanning,,Libby Rosalyn Richard,HE945013A,4 Covent Garden,Farnworth Ward,Greater Manchester,BL4 7AF,
Alan Benjamin,Holder,ABH0663,Alan.Benjamin.Holder@dtaa.com,AssemblySupervisor,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Delilah Iliana Wilkinson,GT785013A,9166 Devon St #905,Knightsbridge and Belgravia Wa,Greater London,SW1W 8JY,
Eagan Zephania,Talley,EZT0640,Eagan.Zephania.Talley@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,CR112628A,70 Foster St,Inverness Ness-Side Ward,Highland,IV2 6WT,
Beatrice Alexis,Kidd,BAK0964,Beatrice.Alexis.Kidd@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,YU287661B,714 Fonthill Rd,Darton West Ward,South Yorkshire,S75 5EJ,
Jack Carlos,Cannon,JCC0225,Jack.Carlos.Cannon@dtaa.com,ITAdmin,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,DG837932B,9 Milton St,Consett North ED,County Durham,DH8 5LP,
Erich Malik,Wolf,EMW0105,Erich.Malik.Wolf@dtaa.com,AdministrativeAssistant,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates,MA431347B,6 Norwood Grove,Tanworth-in-Arden,Warwickshire,B94 5RZ,
Shea Jane,Franks,SJF0094,Shea.Jane.Franks@dtaa.com,MaterialsEngineer,2 - ResearchAndEngineering,3 - Engineering,3 - MaterialsEngineering,Ainsley MacKensie Doyle,UN489424A,,,,,
Charity Stacey,Jennings,CSJ0340,Charity.Stacey.Jennings@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,HE821957D,,,,,
Jorden Helen,Pierce,JHP0583,Jorden.Helen.Pierce@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,BY570734B,,,,,
Hollee Shannon,Dudley,HSD0457,Hollee.Shannon.Dudley@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,KU728134A,,,,,
Prescott Giacomo,Conley,PGC0066,Prescott.Giacomo.Conley@dtaa.com,AdministrativeAssistant,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Vance Ira Alston,EB382414C,,,,,
Wang Dean,Vasquez,WDV0573,Wang.Dean.Vasquez@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,PW037439C,,,,,
Quail Rana,Mclean,QRM0739,Quail.Rana.Mclean@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,OL881793D,,,,,
Alfreda Sierra,Savage,ASS0517,Alfreda.Sierra.Savage@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,XV045040C,,,,,
Eve Shaeleigh,Holman,ESH0283,Eve.Shaeleigh.Holman@dtaa.com,MechanicalEngineer,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates,EA920500B,,,,,
Whoopi Britanney,Camacho,WBC0192,Whoopi.Britanney.Camacho@dtaa.com,Manager,6 - PurchasingAndContracts,3 - Contracts,,Kirby Bo Pollard,AR762270A,,,,,
Penelope Lysandra,Hayes,PLH0715,Penelope.Lysandra.Hayes@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,VX084278D,,,,,
Kermit Jonas,Gould,KJG0910,Kermit.Jonas.Gould@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,NB550257A,,,,,
Deborah Barbara,White,DBW0483,Deborah.Barbara.White@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,JL003733C,,,,,
Kyla Blythe,Carter,KBC0054,Kyla.Blythe.Carter@dtaa.com,Scientist,2 - ResearchAndEngineering,1 - Research,,Summer Leilani Boyer,KL639715A,,,,,
Keane Nicholas,Blevins,KNB0022,Keane.Nicholas.Blevins@dtaa.com,HumanResourceSpecialist,1 - Adminstration,2 - EmployeeRelations,,Blaze Trevor Stone,FE104085B,,,,,
Paula Isabelle,Santiago,PIS0522,Paula.Isabelle.Santiago@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,QZ695523C,,,,,
Aretha Dorothy,Deleon,ADD0846,Aretha.Dorothy.Deleon@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,GT572330B,,,,,
Nicholas Kato,Pennington,NKP0236,Nicholas.Kato.Pennington@dtaa.com,ComputerProgrammer,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Vance Ira Alston,LN764751D,,,,,
Valentine Lucian,Benjamin,VLB0647,Valentine.Lucian.Benjamin@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,DK028935A,,,,,
Dai Keely,Bullock,DKB0631,Dai.Keely.Bullock@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,FR469183D,,,,,
Kylie Elizabeth,Santos,KES0729,Kylie.Elizabeth.Santos@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,BX123031A,,,,,
Isadora Buffy,Brewer,IBB0696,Isadora.Buffy.Brewer@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,WO767751C,,,,,
Bethany Lydia,Lyons,BLL0929,Bethany.Lydia.Lyons@dtaa.com,ComputerScientist,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball,ML391192C,,,,,
Hector Abraham,Hayes,HAH0248,Hector.Abraham.Hayes@dtaa.com,MechanicalEngineer,2 - ResearchAndEngineering,3 - Engineering,1 - MechanicalEngineering,Harper Price Harris,VV936922C,,,,,
Nyssa Britanney,Carver,NBC0412,Nyssa.Britanney.Carver@dtaa.com,SystemsEngineer,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,Hadassah Riley Baker,YQ877500A,,,,,
Cade Rajah,Patterson,CRP0456,Cade.Rajah.Patterson@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,GT794414A,,,,,
Josephine Indira,Garza,JIG0128,Josephine.Indira.Garza@dtaa.com,MechanicalEngineer,3 - Manufacturing,2 - ManufacturingEngineering,,Fritz Dale Ellison,IR808205B,,,,,
Ivor Jelani,Robbins,IJR0825,Ivor.Jelani.Robbins@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,LE098585D,,,,,
Elaine Sonya,Hughes,ESH0135,Elaine.Sonya.Hughes@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,YA220512B,,,,,
Risa Hillary,Obrien,RHO0732,Risa.Hillary.Obrien@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,GL762976A,,,,,
Dennis Gray,Wilson,DGW0752,Dennis.Gray.Wilson@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,ZO396405B,,,,,
Hillary Piper,Riddle,HPR0585,Hillary.Piper.Riddle@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,DA438901C,,,,,
Teagan Briar,Townsend,TBT0461,Teagan.Briar.Townsend@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,FQ518847D,,,,,
Sonia Anne,Kirkland,SAK0375,Sonia.Anne.Kirkland@dtaa.com,ITAdmin,1 - Adminstration,6 - Security,3 - ElectronicSecurity,Francis Brian Armstrong,VM800865B,,,,,
Blaze Jakeem,Hahn,BJH0811,Blaze.Jakeem.Hahn@dtaa.com,ComputerProgrammer,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George,LQ884444A,,,,,
Thomas Vladimir,Stokes,TVS0006,Thomas.Vladimir.Stokes@dtaa.com,VicePresident,4 - Finance,,,Mona Susan Shannon,VU808873B,,,,,
Frances Alisa,Wiggins,FAW0032,Frances.Alisa.Wiggins@dtaa.com,Manager,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Fatima Ulla Mcclure,QO073223C,,,,,
Wanda Samantha,Rogers,WSR0241,Wanda.Samantha.Rogers@dtaa.com,ComputerProgrammer,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Vance Ira Alston,IP368273A,,,,,
Lilah Renee,Wagner,LRW0970,Lilah.Renee.Wagner@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,UE198879A,,,,,
Zachary Myles,Cardenas,ZMC0284,Zachary.Myles.Cardenas@dtaa.com,MechanicalEngineer,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,Rose Hanae Yates,OJ759010D,,,,,
Samantha Audrey,Curtis,SAC0687,Samantha.Audrey.Curtis@dtaa.com,ComputerScientist,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,Aurora Tatiana Payne,BS151124D,,,,,
Cathleen Kelsey,Burke,CKB0427,Cathleen.Kelsey.Burke@dtaa.com,TestEngineer,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,KT192659C,,,,,
Blaze Trevor,Stone,BTS0011,Blaze.Trevor.Stone@dtaa.com,Director,1 - Adminstration,2 - EmployeeRelations,,Halla Cathleen Simmons,BH638541D,,,,,
Ingrid Irene,Atkins,IIA0092,Ingrid.Irene.Atkins@dtaa.com,MaterialsEngineer,2 - ResearchAndEngineering,3 - Engineering,3 - MaterialsEngineering,Ainsley MacKensie Doyle,ET595996A,,,,,
Wesley Kasper,Duffy,WKD0013,Wesley.Kasper.Duffy@dtaa.com,Director,1 - Adminstration,4 - Safety,,Halla Cathleen Simmons,AF562357C,,,,,
Jaden Nicole,Johnston,JNJ0556,Jaden.Nicole.Johnston@dtaa.com,ComputerScientist,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,HZ508172D,,,,,
Tarik Linus,Hubbard,TLH0648,Tarik.Linus.Hubbard@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,QT950617D,,,,,
Iona Brenda,Payne,IBP0883,Iona.Brenda.Payne@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,5 - RegionalFieldService,Blythe Veda Cooke,NC067344C,,,,,
William Aristotle,Sampson,WAS0254,William.Aristotle.Sampson@dtaa.com,ElectricalEngineer,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,KG231849D,,,,,
Quemby Nita,Pollard,QNP0216,Quemby.Nita.Pollard@dtaa.com,ITAdmin,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,LP545099B,,,,,
Katelyn Lani,Murray,KLM0639,Katelyn.Lani.Murray@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,ED608045B,,,,,
Ariel Ina,Barrett,AIB0948,Ariel.Ina.Barrett@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,MV104908C,,,,,
Raphael Benjamin,Bryan,RBB0485,Raphael.Benjamin.Bryan@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,LJ526211D,,,,,
Robert Zeus,Cox,RZC0746,Robert.Zeus.Cox@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,UR342037B,,,,,
Myles Donovan,Macias,MDM0976,Myles.Donovan.Macias@dtaa.com,HumanResourceSpecialist,1 - Adminstration,1 - Personnel,,Bethany Xerxes Johnson,PX416440C,,,,,
Xandra Briar,Nielsen,XBN0229,Xandra.Briar.Nielsen@dtaa.com,Scientist,2 - ResearchAndEngineering,1 - Research,1 - Lab,Jackson Linus Wilkerson,ME719481B,,,,,
Shaeleigh MacKenzie,Harris,SMH0291,Shaeleigh.MacKenzie.Harris@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,OT079103A,,,,,
